# Title: Template of General Matrix class
# Covariance Matrix (row col value)
0	0	0.000000e+00
0	1	0.000000e+00
0	2	0.000000e+00
0	3	0.000000e+00
0	4	0.000000e+00
0	5	0.000000e+00
0	6	0.000000e+00
0	7	0.000000e+00
1	0	0.000000e+00
1	1	1.000000e+00
1	2	9.211083e-01
1	3	8.555115e-01
1	4	7.959963e-01
1	5	7.580603e-01
1	6	6.922365e-01
1	7	0.000000e+00
2	0	0.000000e+00
2	1	9.211083e-01
2	2	1.000000e+00
2	3	9.688270e-01
2	4	9.199657e-01
2	5	8.564629e-01
2	6	7.880227e-01
2	7	0.000000e+00
3	0	0.000000e+00
3	1	8.555115e-01
3	2	9.688270e-01
3	3	1.000000e+00
3	4	9.661819e-01
3	5	9.146350e-01
3	6	8.443031e-01
3	7	0.000000e+00
4	0	0.000000e+00
4	1	7.959963e-01
4	2	9.199657e-01
4	3	9.661819e-01
4	4	1.000000e+00
4	5	9.511025e-01
4	6	8.978212e-01
4	7	0.000000e+00
5	0	0.000000e+00
5	1	7.580603e-01
5	2	8.564629e-01
5	3	9.146350e-01
5	4	9.511025e-01
5	5	1.000000e+00
5	6	9.352689e-01
5	7	0.000000e+00
6	0	0.000000e+00
6	1	6.922365e-01
6	2	7.880227e-01
6	3	8.443031e-01
6	4	8.978212e-01
6	5	9.352689e-01
6	6	1.000000e+00
6	7	0.000000e+00
7	0	0.000000e+00
7	1	0.000000e+00
7	2	0.000000e+00
7	3	0.000000e+00
7	4	0.000000e+00
7	5	0.000000e+00
7	6	0.000000e+00
7	7	0.000000e+00
