# Title: Template of General Matrix class
# Covariance Matrix (row col value)
0	0	0.000000e+00
0	1	0.000000e+00
0	2	0.000000e+00
0	3	0.000000e+00
0	4	0.000000e+00
0	5	0.000000e+00
0	6	0.000000e+00
0	7	0.000000e+00
1	0	0.000000e+00
1	1	1.000000e+00
1	2	9.241424e-01
1	3	8.560553e-01
1	4	8.008943e-01
1	5	7.544520e-01
1	6	6.944972e-01
1	7	0.000000e+00
2	0	0.000000e+00
2	1	9.241424e-01
2	2	1.000000e+00
2	3	9.695932e-01
2	4	9.224524e-01
2	5	8.563069e-01
2	6	7.887032e-01
2	7	0.000000e+00
3	0	0.000000e+00
3	1	8.560553e-01
3	2	9.695932e-01
3	3	1.000000e+00
3	4	9.714745e-01
3	5	9.195567e-01
3	6	8.468257e-01
3	7	0.000000e+00
4	0	0.000000e+00
4	1	8.008943e-01
4	2	9.224524e-01
4	3	9.714745e-01
4	4	1.000000e+00
4	5	9.589899e-01
4	6	9.007103e-01
4	7	0.000000e+00
5	0	0.000000e+00
5	1	7.544520e-01
5	2	8.563069e-01
5	3	9.195567e-01
5	4	9.589899e-01
5	5	1.000000e+00
5	6	9.432827e-01
5	7	0.000000e+00
6	0	0.000000e+00
6	1	6.944972e-01
6	2	7.887032e-01
6	3	8.468257e-01
6	4	9.007103e-01
6	5	9.432827e-01
6	6	1.000000e+00
6	7	0.000000e+00
7	0	0.000000e+00
7	1	0.000000e+00
7	2	0.000000e+00
7	3	0.000000e+00
7	4	0.000000e+00
7	5	0.000000e+00
7	6	0.000000e+00
7	7	0.000000e+00
