 -300.0000     0.1228800E-07 -1.500000     0.8459350E-08
 -260.0000     0.2854110E-07 -1.300000     0.1852850E-08
 -220.0000     0.7599270E-07 -1.100000     0.1835100E-08
 -180.0000     0.1498510E-06 -.9000000     0.2081650E-08
 -140.0000     0.2109030E-06 -.7000000     0.2194800E-08
 -100.0000     0.2314320E-06 -.5000000     0.2606120E-08
 -60.00000     0.2785300E-06 -.3000000     0.4544370E-08
 -20.00000     0.3209320E-06 -.1000000     0.1401330E-07
  20.00000     0.3209320E-06 0.1000000     0.1241390E-07
  60.00000     0.2785300E-06 0.3000000     0.4831690E-08
  100.0000     0.2314320E-06 0.5000000     0.3015570E-08
  140.0000     0.2109030E-06 0.7000000     0.2472420E-08
  180.0000     0.1498510E-06 0.9000000     0.1960300E-08
  220.0000     0.7599270E-07  1.100000     0.1470540E-08
  260.0000     0.2854110E-07  1.300000     0.8731810E-09
  300.0000     0.1228800E-07  1.500000     0.5904760E-09
