   -.300000E+03  0.186681E-08  0.150000E+01  0.259117E-09
   -.260000E+03  0.503346E-08  0.130000E+01  0.400280E-09
   -.220000E+03  0.124870E-07  0.110000E+01  0.627189E-09
   -.180000E+03  0.240511E-07  0.900000E+00  0.953160E-09
   -.140000E+03  0.426439E-07  0.700000E+00  0.163033E-08
   -.100000E+03  0.547212E-07  0.500000E+00  0.258958E-08
   -.600000E+02  0.506924E-07  0.300000E+00  0.411539E-08
   -.200000E+02  0.148751E-07  0.100000E+00  0.708483E-08
   0.200000E+02  0.148751E-07  0.100000E+00  0.708483E-08
   0.600000E+02  0.506924E-07  0.300000E+00  0.411539E-08
   0.100000E+03  0.547212E-07  0.500000E+00  0.258958E-08
   0.140000E+03  0.426439E-07  0.700000E+00  0.163033E-08
   0.180000E+03  0.240511E-07  0.900000E+00  0.953160E-09
   0.220000E+03  0.124870E-07  0.110000E+01  0.627189E-09
   0.260000E+03  0.503346E-08  0.130000E+01  0.400280E-09
   0.300000E+03  0.186681E-08  0.150000E+01  0.259117E-09
