 -300.0000     0.1548510E-08 -1.500000     0.1102120E-09
 -260.0000     0.5030750E-08 -1.300000     0.1579830E-09
 -220.0000     0.1493190E-07 -1.100000     0.2888370E-09
 -180.0000     0.3633080E-07 -.9000000     0.5696520E-09
 -140.0000     0.6850640E-07 -.7000000     0.9541010E-09
 -100.0000     0.7604270E-07 -.5000000     0.1167260E-08
 -60.00000     0.6045510E-07 -.3000000     0.1398660E-08
 -20.00000     0.2864530E-07 -.1000000     0.2177260E-08
  20.00000     0.2864530E-07 0.1000000     0.1885010E-08
  60.00000     0.6045510E-07 0.3000000     0.1594550E-08
  100.0000     0.7604270E-07 0.5000000     0.1384950E-08
  140.0000     0.6850640E-07 0.7000000     0.1143060E-08
  180.0000     0.3633080E-07 0.9000000     0.7371690E-09
  220.0000     0.1493190E-07  1.100000     0.3706060E-09
  260.0000     0.5030750E-08  1.300000     0.1720910E-09
  300.0000     0.1548510E-08  1.500000     0.8638590E-10
