 -300.0000     0.5239780E-09 -1.500000     0.7099240E-10
 -260.0000     0.1293210E-08 -1.300000     0.8725360E-10
 -220.0000     0.2791600E-08 -1.100000     0.1089300E-09
 -180.0000     0.6581280E-08 -.9000000     0.1559070E-09
 -140.0000     0.1486590E-07 -.7000000     0.2690890E-09
 -100.0000     0.2745260E-07 -.5000000     0.4884960E-09
 -60.00000     0.3868670E-07 -.3000000     0.1013090E-08
 -20.00000     0.5203230E-07 -.1000000     0.3063250E-08
  20.00000     0.5203230E-07 0.1000000     0.3248770E-08
  60.00000     0.3868670E-07 0.3000000     0.1002410E-08
  100.0000     0.2745260E-07 0.5000000     0.5294060E-09
  140.0000     0.1486590E-07 0.7000000     0.2658840E-09
  180.0000     0.6581280E-08 0.9000000     0.1456710E-09
  220.0000     0.2791600E-08  1.100000     0.8869090E-10
  260.0000     0.1293210E-08  1.300000     0.6283640E-10
  300.0000     0.5239780E-09  1.500000     0.4352300E-10
