   -.300000E+03  0.126902E-08  0.150000E+01  0.163601E-09
   -.260000E+03  0.144651E-08  0.130000E+01  0.149550E-09
   -.220000E+03  0.462309E-08  0.110000E+01  0.271319E-09
   -.180000E+03  0.888203E-08  0.900000E+00  0.390258E-09
   -.140000E+03  0.181500E-07  0.700000E+00  0.684740E-09
   -.100000E+03  0.281071E-07  0.500000E+00  0.123726E-08
   -.600000E+02  0.458298E-07  0.300000E+00  0.307964E-08
   -.200000E+02  0.454865E-07  0.100000E+00  0.103233E-07
   0.200000E+02  0.454865E-07  0.100000E+00  0.103233E-07
   0.600000E+02  0.458298E-07  0.300000E+00  0.307964E-08
   0.100000E+03  0.281071E-07  0.500000E+00  0.123726E-08
   0.140000E+03  0.181500E-07  0.700000E+00  0.684740E-09
   0.180000E+03  0.888203E-08  0.900000E+00  0.390258E-09
   0.220000E+03  0.462309E-08  0.110000E+01  0.271319E-09
   0.260000E+03  0.144651E-08  0.130000E+01  0.149550E-09
   0.300000E+03  0.126902E-08  0.150000E+01  0.163601E-09
