# Title: Template of General Matrix class
# Covariance Matrix (row col value)
0	0	0.000000e+00
0	1	0.000000e+00
0	2	0.000000e+00
0	3	0.000000e+00
0	4	0.000000e+00
0	5	0.000000e+00
0	6	0.000000e+00
0	7	0.000000e+00
0	8	0.000000e+00
0	9	0.000000e+00
0	10	0.000000e+00
0	11	0.000000e+00
1	0	0.000000e+00
1	1	1.000000e+00
1	2	9.566648e-01
1	3	9.455008e-01
1	4	9.427998e-01
1	5	9.325644e-01
1	6	9.102502e-01
1	7	8.494382e-01
1	8	7.262167e-01
1	9	5.224510e-01
1	10	3.777846e-01
1	11	0.000000e+00
2	0	0.000000e+00
2	1	9.566648e-01
2	2	1.000000e+00
2	3	9.786268e-01
2	4	9.744310e-01
2	5	9.551447e-01
2	6	9.423825e-01
2	7	8.815851e-01
2	8	7.587696e-01
2	9	5.421086e-01
2	10	3.874073e-01
2	11	0.000000e+00
3	0	0.000000e+00
3	1	9.455008e-01
3	2	9.786268e-01
3	3	1.000000e+00
3	4	9.848903e-01
3	5	9.682391e-01
3	6	9.562601e-01
3	7	8.896730e-01
3	8	7.603812e-01
3	9	5.330310e-01
3	10	3.754634e-01
3	11	0.000000e+00
4	0	0.000000e+00
4	1	9.427998e-01
4	2	9.744310e-01
4	3	9.848903e-01
4	4	1.000000e+00
4	5	9.816329e-01
4	6	9.718033e-01
4	7	9.114627e-01
4	8	7.843889e-01
4	9	5.564169e-01
4	10	3.981354e-01
4	11	0.000000e+00
5	0	0.000000e+00
5	1	9.325644e-01
5	2	9.551447e-01
5	3	9.682391e-01
5	4	9.816329e-01
5	5	1.000000e+00
5	6	9.786708e-01
5	7	9.226260e-01
5	8	7.929000e-01
5	9	5.607039e-01
5	10	4.010461e-01
5	11	0.000000e+00
6	0	0.000000e+00
6	1	9.102502e-01
6	2	9.423825e-01
6	3	9.562601e-01
6	4	9.718033e-01
6	5	9.786708e-01
6	6	1.000000e+00
6	7	9.582571e-01
6	8	8.530620e-01
6	9	6.443196e-01
6	10	4.864466e-01
6	11	0.000000e+00
7	0	0.000000e+00
7	1	8.494382e-01
7	2	8.815851e-01
7	3	8.896730e-01
7	4	9.114627e-01
7	5	9.226260e-01
7	6	9.582571e-01
7	7	1.000000e+00
7	8	9.387400e-01
7	9	7.809483e-01
7	10	6.317583e-01
7	11	0.000000e+00
8	0	0.000000e+00
8	1	7.262167e-01
8	2	7.587696e-01
8	3	7.603812e-01
8	4	7.843889e-01
8	5	7.929000e-01
8	6	8.530620e-01
8	7	9.387400e-01
8	8	1.000000e+00
8	9	9.168144e-01
8	10	8.079762e-01
8	11	0.000000e+00
9	0	0.000000e+00
9	1	5.224510e-01
9	2	5.421086e-01
9	3	5.330310e-01
9	4	5.564169e-01
9	5	5.607039e-01
9	6	6.443196e-01
9	7	7.809483e-01
9	8	9.168144e-01
9	9	1.000000e+00
9	10	9.489700e-01
9	11	0.000000e+00
10	0	0.000000e+00
10	1	3.777846e-01
10	2	3.874073e-01
10	3	3.754634e-01
10	4	3.981354e-01
10	5	4.010461e-01
10	6	4.864466e-01
10	7	6.317583e-01
10	8	8.079762e-01
10	9	9.489700e-01
10	10	1.000000e+00
10	11	0.000000e+00
11	0	0.000000e+00
11	1	0.000000e+00
11	2	0.000000e+00
11	3	0.000000e+00
11	4	0.000000e+00
11	5	0.000000e+00
11	6	0.000000e+00
11	7	0.000000e+00
11	8	0.000000e+00
11	9	0.000000e+00
11	10	0.000000e+00
11	11	0.000000e+00
