# Title: Template of General Matrix class
# Covariance Matrix (row col value)
0	0	0.000000e+00
0	1	0.000000e+00
0	2	0.000000e+00
0	3	0.000000e+00
0	4	0.000000e+00
0	5	0.000000e+00
0	6	0.000000e+00
0	7	0.000000e+00
0	8	0.000000e+00
0	9	0.000000e+00
0	10	0.000000e+00
1	0	0.000000e+00
1	1	1.000000e+00
1	2	9.294401e-01
1	3	7.914138e-01
1	4	6.752465e-01
1	5	5.900811e-01
1	6	6.077598e-01
1	7	6.197252e-01
1	8	5.592896e-01
1	9	3.443459e-01
1	10	2.081037e-01
2	0	0.000000e+00
2	1	9.294401e-01
2	2	1.000000e+00
2	3	9.401449e-01
2	4	8.469422e-01
2	5	7.759244e-01
2	6	7.804268e-01
2	7	7.724390e-01
2	8	6.697001e-01
2	9	4.710593e-01
2	10	3.355633e-01
3	0	0.000000e+00
3	1	7.914138e-01
3	2	9.401449e-01
3	3	1.000000e+00
3	4	9.558682e-01
3	5	9.127046e-01
3	6	9.074210e-01
3	7	8.814078e-01
3	8	7.532299e-01
3	9	5.741612e-01
3	10	4.445440e-01
4	0	0.000000e+00
4	1	6.752465e-01
4	2	8.469422e-01
4	3	9.558682e-01
4	4	1.000000e+00
4	5	9.739230e-01
4	6	9.664268e-01
4	7	9.337030e-01
4	8	7.797563e-01
4	9	5.995576e-01
4	10	4.660311e-01
5	0	0.000000e+00
5	1	5.900811e-01
5	2	7.759244e-01
5	3	9.127046e-01
5	4	9.739230e-01
5	5	1.000000e+00
5	6	9.877887e-01
5	7	9.534116e-01
5	8	7.818114e-01
5	9	6.371878e-01
5	10	5.020406e-01
6	0	0.000000e+00
6	1	6.077598e-01
6	2	7.804268e-01
6	3	9.074210e-01
6	4	9.664268e-01
6	5	9.877887e-01
6	6	1.000000e+00
6	7	9.709381e-01
6	8	8.266735e-01
6	9	6.713494e-01
6	10	5.201894e-01
7	0	0.000000e+00
7	1	6.197252e-01
7	2	7.724390e-01
7	3	8.814078e-01
7	4	9.337030e-01
7	5	9.534116e-01
7	6	9.709381e-01
7	7	1.000000e+00
7	8	8.895535e-01
7	9	7.069373e-01
7	10	5.137422e-01
8	0	0.000000e+00
8	1	5.592896e-01
8	2	6.697001e-01
8	3	7.532299e-01
8	4	7.797563e-01
8	5	7.818114e-01
8	6	8.266735e-01
8	7	8.895535e-01
8	8	1.000000e+00
8	9	7.980056e-01
8	10	5.874085e-01
9	0	0.000000e+00
9	1	3.443459e-01
9	2	4.710593e-01
9	3	5.741612e-01
9	4	5.995576e-01
9	5	6.371878e-01
9	6	6.713494e-01
9	7	7.069373e-01
9	8	7.980056e-01
9	9	1.000000e+00
9	10	6.079250e-01
10	0	0.000000e+00
10	1	2.081037e-01
10	2	3.355633e-01
10	3	4.445440e-01
10	4	4.660311e-01
10	5	5.020406e-01
10	6	5.201894e-01
10	7	5.137422e-01
10	8	5.874085e-01
10	9	6.079250e-01
10	10	1.000000e+00
