# Title: Template of General Matrix class
# Covariance Matrix (row col value)
0	0	0.000000e+00
0	1	0.000000e+00
0	2	0.000000e+00
0	3	0.000000e+00
0	4	0.000000e+00
0	5	0.000000e+00
0	6	0.000000e+00
0	7	0.000000e+00
1	0	0.000000e+00
1	1	1.000000e+00
1	2	8.647122e-01
1	3	7.220229e-01
1	4	7.223405e-01
1	5	5.531409e-01
1	6	2.395381e-01
1	7	9.366235e-02
2	0	0.000000e+00
2	1	8.647122e-01
2	2	1.000000e+00
2	3	9.483552e-01
2	4	8.992945e-01
2	5	7.057707e-01
2	6	3.153672e-01
2	7	1.114385e-01
3	0	0.000000e+00
3	1	7.220229e-01
3	2	9.483552e-01
3	3	1.000000e+00
3	4	9.426650e-01
3	5	7.500754e-01
3	6	3.503398e-01
3	7	1.163403e-01
4	0	0.000000e+00
4	1	7.223405e-01
4	2	8.992945e-01
4	3	9.426650e-01
4	4	1.000000e+00
4	5	8.858376e-01
4	6	4.273966e-01
4	7	1.523468e-01
5	0	0.000000e+00
5	1	5.531409e-01
5	2	7.057707e-01
5	3	7.500754e-01
5	4	8.858376e-01
5	5	1.000000e+00
5	6	4.945258e-01
5	7	2.120212e-01
6	0	0.000000e+00
6	1	2.395381e-01
6	2	3.153672e-01
6	3	3.503398e-01
6	4	4.273966e-01
6	5	4.945258e-01
6	6	1.000000e+00
6	7	1.370822e-01
7	0	0.000000e+00
7	1	9.366235e-02
7	2	1.114385e-01
7	3	1.163403e-01
7	4	1.523468e-01
7	5	2.120212e-01
7	6	1.370822e-01
7	7	1.000000e+00
